iteration,pso_mean,pso_std,ga_mean,ga_std
1,1.9896310722069344,0.01311454910826256,1.847214800425894,0.15316582095391884
2,1.9918926054421369,0.011829456325035381,1.917952352172406,0.08727166241525967
3,1.99503940066873,0.005878821499947953,1.9335657033759368,0.0742544322705606
4,1.9960125605087835,0.004754421444943154,1.9503087075372796,0.0629548755702124
5,1.9960614183878944,0.004760580444105464,1.9534553780085389,0.06218103296574625
6,1.9975335700247916,0.0027844079405487513,1.9608565894288503,0.05944481481101179
7,1.9981839461013786,0.0017303427905419162,1.9647782127629236,0.057941343768989594
8,1.9981839461013786,0.0017303427905419162,1.9662185155694567,0.05838431127936417
9,1.9984145378709235,0.0016225023411398484,1.96959773912349,0.058159844313708006
10,1.9984927906182175,0.0015853007788926977,1.9701886561310573,0.05837564759193976
11,1.9985172444770152,0.0015768057925486265,1.9742557853832552,0.0578385771356456
12,1.998777729951498,0.0012387583726430368,1.9748748818555313,0.05798921794960753
13,1.9989986338030223,0.001005048648205007,1.9749820113212067,0.05802892536760513
14,1.9991245362069934,0.0009776977738525186,1.975709460742947,0.05821595298633868
15,1.9991715429318837,0.0009800092664728898,1.9761830689087474,0.05835171644933834
16,1.9991857289028663,0.0009700619068653241,1.977807750960495,0.05866923213553457
17,1.9992950617474683,0.000900026815543706,1.9869316402558634,0.04106621457371929
18,1.9994156219382804,0.0005665596895178557,1.9873689908507235,0.04113002741760945
19,1.9995164706215511,0.0004829023484902457,1.9876499099221676,0.041195727552643856
20,1.9995895935073278,0.0004486547781324046,1.9888522642765798,0.04075588330244421
21,1.9996461252799065,0.0003970878018574252,1.9892394417247912,0.04079641426719243
22,1.9996803323782184,0.00037420300980125907,1.9892465919264017,0.04079774200475036
23,1.999682853197523,0.00037522705214504875,1.9892834491395652,0.04080522483676809
24,1.9997077842044992,0.0003480033894497792,1.9900711794641837,0.040831015680345986
25,1.9997099415210868,0.0003488958583340894,1.9917524068856587,0.032162570335518045
26,1.9997841298449155,0.00019330730674063873,1.9918117799930617,0.032176052537922765
27,1.999810622617401,0.00016325257120956637,1.9918532906755757,0.03218317191858168
28,1.9998381607465021,0.00015983625081614198,1.9927061349441075,0.02781423824131366
29,1.9998633496119813,0.00013477594033645577,1.9927215012847255,0.027817510758775484
30,1.9998868258243852,0.00012473404007105386,1.9927450090388148,0.02782293239331101
31,1.9999212273560256,6.963582295984111e-05,1.9957603237924633,0.012460224328338909
32,1.999930317324188,5.7896655356832525e-05,1.995793814757793,0.012301495058328879
33,1.9999347039621174,5.8834269392008124e-05,1.995793814757793,0.012301495058328879
34,1.999938238437401,5.928254111243809e-05,1.9974729828505178,0.006477249237739761
35,1.9999447541479625,5.242693377142628e-05,1.9984087004182285,0.00398398758717075
36,1.9999562255522174,4.460784033433026e-05,1.998518012555929,0.003915498494903705
37,1.999960960309273,3.913690592323717e-05,1.9985288663793954,0.00391346805010379
38,1.9999645517246687,3.6793994199529206e-05,1.9986017555994848,0.00392562137279865
39,1.9999662168674344,3.665300332462043e-05,1.9986017555994848,0.00392562137279865
40,1.9999711725252027,3.716596829331751e-05,1.9986093845748472,0.0039278277728854874
41,1.9999716892766026,3.7374499530841406e-05,1.9986093845748472,0.0039278277728854874
42,1.9999765843721657,3.58041304218189e-05,1.9986668335368412,0.003930424262482293
43,1.9999815614773595,3.108044206898691e-05,1.998684746643861,0.003933172177507265
44,1.999984178985408,2.425255265963011e-05,1.9989519641195463,0.002569256005252666
45,1.999988068960987,1.4071251203110794e-05,1.9989646366505651,0.0025718508512928323
46,1.9999921901108046,8.309523251145816e-06,1.9989646366505651,0.0025718508512928323
47,1.9999924670749007,8.425593293266234e-06,1.999296590861003,0.00112864630824956
48,1.9999934222406808,7.27464680919088e-06,1.9994044446080501,0.0008898624429595209
49,1.999994679369995,6.194014877118065e-06,1.9994245279820346,0.0008864152095040301
50,1.999995479527903,5.830675007578553e-06,1.9994246174919637,0.0008864678434227777
51,1.9999959112827232,5.684928750517437e-06,1.9994617083400719,0.0008724809890981737
52,1.999996187226656,5.680763137010017e-06,1.9994799043271014,0.0008740305181782257
53,1.9999969012344558,4.032041870894174e-06,1.999488987957471,0.0008710465433385922
54,1.9999974279667698,3.785518773286982e-06,1.9995067906513406,0.0008767987834394095
55,1.9999980831981292,2.690916003233396e-06,1.9995519807325932,0.0008444621791495624
56,1.9999984622765594,1.7997491712300097e-06,1.9995519807325932,0.0008444621791495624
57,1.9999987860023154,1.7283726977408745e-06,1.9995519807325932,0.0008444621791495624
58,1.999999307365668,1.0116665004223622e-06,1.9995527357273302,0.0008447943261846065
59,1.9999993739118054,9.774652687585923e-07,1.9995527357273302,0.0008447943261846065
60,1.9999994599521191,9.944686104764088e-07,1.999553818791475,0.0008452943840210357
61,1.999999670310991,4.0018556788701375e-07,1.9995743200767087,0.0008433696409949704
62,1.999999729290725,3.554468261841477e-07,1.9995743200767087,0.0008433696409949704
63,1.9999997725414014,3.340019686022157e-07,1.9995884300387134,0.0008330907129250061
64,1.9999997916148937,3.37758626870254e-07,1.9996344605049423,0.0007961496388144565
65,1.999999871101412,2.115083637403369e-07,1.9996352658935224,0.000796245845220306
66,1.9999998815614894,2.1029251271524028e-07,1.9996413650557225,0.0007961482632725239
