run,best_fitness,best_x,best_y
1,1.9999999999999667,0.9999999544362822,2.0000001770285825
2,1.999999999999893,1.000000327175665,1.999999991804455
3,1.99999999999999,0.9999999095335095,2.0000000423838005
4,1.9999999999999871,1.0000000746334627,2.000000086376074
5,1.9999999999991758,1.0000000656905426,1.9999990944876875
6,1.9999999999996005,1.0000004053225091,2.000000484882668
7,1.9999999999989702,0.9999991613292021,1.9999994284842095
8,1.9999999999999143,0.9999999413208959,2.000000286993474
9,1.9999999999984641,1.0000001713269524,2.0000012274214214
10,1.9999999999999258,1.0000000348668046,1.99999972967945
11,1.9999999999997478,1.0000002752508863,2.000000420164675
12,1.9999999999998896,1.0000003252677185,1.9999999328053089
13,1.999999999999729,0.9999994891007684,1.999999901060212
14,1.9999999999998075,1.0000001473145392,2.000000413360892
15,1.9999999999996514,1.00000044887711,2.000000383378393
16,1.9999999999999232,0.9999997895480358,1.9999998198900062
17,1.999999999999992,1.0000000388118309,2.0000000809270784
18,1.9999999999998055,0.9999997290105841,2.0000003480030073
19,1.9999999999996838,0.9999994425492269,1.999999925760722
20,1.9999999999967184,1.000001319321063,2.0000012413555837
21,1.9999999999998692,0.9999996538844612,1.999999894935005
22,1.9999999999999605,0.9999998014139224,2.000000016417171
23,1.9999999999999765,1.0000001520335247,1.9999999799844665
24,1.9999999999999405,0.9999998198307638,1.9999998358076747
25,1.9999999999999583,1.0000001379367807,2.0000001506434595
26,1.9999999999999938,0.9999999829732988,1.9999999227503125
27,1.9999999999998521,1.0000001649448411,1.9999996524199073
28,1.9999999999998113,1.0000001423603593,1.9999995897553333
29,1.9999999999999662,0.9999998984691263,2.000000152795667
30,1.9999999999999778,1.000000139261842,2.000000051981723
