Iteration,Fitness,Fitness_Convergence,x,x_Convergence,y,y_Convergence,status
1,1.9956,1.9956,0.9486,0.9486,1.9582,1.9582,True
2,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
3,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
4,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
5,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
6,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
7,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
8,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
9,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
10,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
11,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
12,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
13,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
14,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
15,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
16,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
17,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
18,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
19,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
20,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
21,1.9983,1.9983,1.0377,1.0377,1.9827,1.9827,True
22,1.9994,1.9994,1.0157,1.0377,2.0193,2.0193,True
23,1.9994,1.9994,1.0157,1.0377,2.0193,2.0193,True
24,1.9994,1.9994,1.0157,1.0377,2.0193,2.0193,True
25,1.9994,1.9994,1.0157,1.0377,2.0193,2.0193,True
26,1.9994,1.9994,1.0157,1.0377,2.0193,2.0193,True
27,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
28,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
29,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
30,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
31,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
32,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
33,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
34,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
35,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
36,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
37,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
38,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
39,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
40,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
41,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
42,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
43,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
44,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
45,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
46,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
47,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
48,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
49,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
50,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
51,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
52,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
53,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
54,1.9999,1.9999,1.0011,1.0377,2.0095,2.0193,True
