Iteration,Fitness,Fitness_Convergence,x,x_Convergence,y,y_Convergence,status
48,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
49,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
50,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
51,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
52,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
53,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
54,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
55,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
56,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
57,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
58,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
59,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
60,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
61,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
62,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
63,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
64,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
65,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
66,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
67,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
68,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
69,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
70,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
71,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
72,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
73,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
74,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
75,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
76,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
77,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
78,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
79,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
80,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
81,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
82,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
83,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
84,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
85,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
86,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
87,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
88,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
89,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
90,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
91,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
92,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
93,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
94,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
95,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
96,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
97,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
98,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
99,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
100,2.0,2.0,0.9974,1.1159,2.0022,2.1231,True
