Iteration,Fitness,Fitness_Convergence,x,x_Convergence,y,y_Convergence,status
1,1.9574,1.9574,1.1159,1.1159,1.8276,1.8276,True
2,1.966,1.966,1.0084,1.1159,1.8142,1.8276,True
3,1.9723,1.9723,0.9791,1.1159,1.8337,1.8337,True
4,1.9723,1.9723,0.9791,1.1159,1.8337,1.8337,True
5,1.9723,1.9723,0.9791,1.1159,1.8337,1.8337,True
6,1.9723,1.9723,0.9791,1.1159,1.8337,1.8337,True
7,1.9731,1.9731,1.0035,1.1159,1.8349,1.8349,True
8,1.9731,1.9731,1.0035,1.1159,1.8349,1.8349,True
9,1.9848,1.9848,0.9877,1.1159,2.1231,2.1231,True
10,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
11,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
12,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
13,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
14,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
15,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
16,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
17,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
18,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
19,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
20,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
21,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
22,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
23,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
24,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
25,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
26,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
27,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
28,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
29,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
30,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
31,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
32,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
33,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
34,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
35,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
36,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
37,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
38,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
39,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
40,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
41,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
42,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
43,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
44,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
45,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
46,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
47,1.9999,1.9999,0.9999,1.1159,1.9912,2.1231,True
