Iteration,Fitness,Fitness_Convergence,x,x_Convergence,y,y_Convergence,status
1,1.9708,1.9708,0.9559,0.9559,1.8337,1.8337,True
2,1.9708,1.9708,0.9559,0.9559,1.8337,1.8337,True
3,1.9859,1.9859,0.9742,0.9742,1.8838,1.8838,True
4,1.9859,1.9859,0.9742,0.9742,1.8838,1.8838,True
5,1.9859,1.9859,0.9742,0.9742,1.8838,1.8838,True
6,1.9859,1.9859,0.9742,0.9742,1.8838,1.8838,True
7,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
8,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
9,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
10,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
11,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
12,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
13,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
14,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
15,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
16,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
17,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
18,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
19,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
20,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
21,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
22,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
23,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
24,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
25,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
26,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
27,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
28,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
29,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
30,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
31,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
32,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
33,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
34,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
35,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
36,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
37,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
38,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
39,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
40,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
41,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
42,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
43,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
44,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
45,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
46,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
47,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
48,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
