Iteration,Fitness,Fitness_Convergence,x,x_Convergence,y,y_Convergence,status
49,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
50,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
51,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
52,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
53,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
54,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
55,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
56,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
57,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
58,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
59,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
60,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
61,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
62,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
63,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
64,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
65,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
66,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
67,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
68,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
69,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
70,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
71,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
72,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
73,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
74,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
75,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
76,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
77,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
78,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
79,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
80,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
81,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
82,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
83,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
84,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
85,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
86,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
87,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
88,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
89,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
90,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
91,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
92,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
93,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
94,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
95,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
96,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
97,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
98,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
99,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
100,1.9989,1.9989,0.9803,0.9803,1.9729,1.9729,True
